model,fold,text,true_label,predicted_label
Typhoon2-3B,1,ล็อคสเปคและสมยอมราคากันในการเสนอราคา,2,0
Typhoon2-3B,1,ใช้รถส่วนกลางเพื่อประโยชน์ส่วนตัว,2,0
Typhoon2-3B,1,"ข้อกล่าวหาที่ ๑ ทุจริตโครงการซ่อมแซมสถานีสูบน้ำด้วยไฟฟ้าบ้านร่องถ่อน
ข้อกล่าวหาที่ ๒ มีส่วนได้เสียในการเข้าทำสัญญากับองค์กาบริหารส่วนตำบล จ. ในโครงการถมดินสาธารณะขององค์การบริหารส่วนตำบล จ.
ข้อกล่าวหาที่ ๓ มีส่วนได้เสียในการเข้าทำสัญญากับองค์การบริหารส่วนตำบล จ. หลายโครงการ
ข้อกล่าวหาที่ ๔ ทุจริตเกี่ยวกับการเบิกจ่ายเงินเบี้ยยังชีพผู้สูงอายุ",2,0
Typhoon2-3B,1,กำหนดเงื่อนไขการเสนอราคา เอื้อประโยชน์ให้ผู้เสนอราคารายใดรายหนึ่ง,2,0
Typhoon2-3B,1,ทุจริตโครงการก่อสร้างถนนคอนกรีตเสริมเหล็ก สายทางแยก ทล.๒๓๕๑ - เมืองแคน หมู่ที่ ๓ บ้านโพนแพง  ตำบลน้ำอ้อม อำเภอค้อวัง จังหวัดยโสธร,2,0
Typhoon2-3B,1,"ทุจริตจัดจ้างโครงการประกวดราคาจ้างปรับปรุงทางเข้าหลักของ Space Inspirium ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding) ตามสัญญาเลขที่ ๑๔/๒๕๖๒ งบประมาณ ๑,๙๘๕,๐๐๐ บาท",2,0
Typhoon2-3B,1,การยื่นซองประกวดราคากรณีการก่อสร้างอาคารสหกรณ์ออมทรัพย์ครูร้อยเอ็ด มีการสมยอมราคากันหรือการฮั้วประมูลงานสหกรณ์ออมทรัพย์ครูร้อยเอ็ด ซึ่งเดิมมีผู้สนใจจำนวน 9 ราย และได้ทำการยื่นซองประกวดราคาแค่ ๓ ห้าง น่าสงสัยว่าห้างอีกจำนวน 6 รายทำไมไม่ยืน,2,0
Typhoon2-3B,1,มีพฤติการณ์ปรากฎแจ้งชัดที่คณะกรรมการเปิดซองสอบราคาและผู้อนุมัติควรรู้ว่าการเสนอราคามีการตกลงร่วมกันในการเสนอราคา แต่ไม่ดำเนินการเพื่อให้มีการยกเลิกการดำเนินการเกี่ยวกับการเสนอราคาดังกล่าว โครงการก่อสร้างถนนคอนกรีตเสริมเหล็กบ้านดงขวาง-คูเมือง ขององค์การบริหารส่วนตำบล ด.,2,0
Typhoon2-3B,1,ทุจริตโครงการวางท่อระบายน้ำ หมู่ที่ 3 หมู่ที่ 6 และหมู่ที่ 11 บ้านถนนใหม่ ตำบลตลุกดู่ ของเทศบาลตำบล ต. ปีงบประมาณ 2556 โดยดำเนินการโครงการวางท่อระบายน้ำนอกเขตเทศบาล ไม่ขออนุญาตใช้พื้นที่จากชลประทาน และมีส่วนได้เสียในสัญญา,2,0
Typhoon2-3B,1,ใช้เงินรายได้สถานศึกษา ไม่ชอบ,2,0
Typhoon2-3B,1," ทุจริตในการจัดซื้อสินค้าจากบริษัท พ. จำนวน ๕,๐๐๐,๐๐๐ บาท  เพื่อรับบัตรโดยสารเครื่องบินฟรีไปประเทศญี่ปุ่น จำนวน ๑๐๐ ใบ  ",2,0
Typhoon2-3B,1,ขอให้ตรวจสอบบริษัท ว. จำกัด และบริษัทในเครือจังหวัดสงขลา ที่มีการขายวัสดุอุปกรณ์เพื่อใช้ในงานอำนวยความปลอดภัยบนทางหลวงให้กับหน่วยงานของรัฐ ซึ่งจากการตรวจสอบพบว่าวัสดุอุปกรณ์ที่มีการขาย เช่น อุปกรณ์งานไฟฟ้าแสงสว่าง เมื่อนำมาใช้หรือนำมาติดตั้งจะมีความเสียหายจำนวนมาก แม้จะอยู่ในระยะเวลาของการประกัน แต่ก็ทำให้ประชาชนผู้ใช้รถใช้ถนนได้รับความเดือดร้อน,2,0
Typhoon2-3B,1,ดำเนินการประกาศเชิญชวนหรือร่างขอบเขตงานจัดซื้อจัดจ้างไม่ชอบด้วยกฎหมาย กำหนดเงื่อนไขที่เป็นการขัดขวางการแข่งขันราคาอย่างเป็นธรรม ,2,0
Typhoon2-3B,1,"พิจารณาคุณสมบัติเอื้อประโยชน์ให้กับผู้เสนอราคารายเดียวโดยหลีกเลี่ยงการเสนอราคาอย่างเป็นธรรม
และกำหนดค่าปรับตามสัญญาจ้างโดยมิชอบ",2,0
Typhoon2-3B,1,ปฎิบัติหน้าที่โดยมิชอบ บังคับ ข่มขู่ ประธานคณะกรรมการตรวจรับงานจ้าง ลงลายมือชื่อเพื่อรับรองตรวจรับงานจ้าง โครงการปรับปรุงถนนดินลงหินคลุก บ้านตาคง หมู่ที่ 4 ตำบลตาคง อำเภอสังขะ จังหวัดสุรินทร์ (สายบ้านนายสุทิตย์ สุระเทพ-หนองตาจอย) ให้ถูกต้องสมบูรณ์,2,0
Typhoon2-3B,1,"ทุจริตจัดซื้อที่ดินเพื่อจัดสร้างตลาดกลางชุมชน จากนาง ค., น.ส. ป. ,นาย ช. และนาง ห. เมื่อปี 51 ในราคาที่สูงเกินจริง และดำเนินการจัดซื้อโดยไม่รับฟังความเห็นของ คกก.จัดซื้อ เป็นเหตุให้เทศบาลตำบลบุญเรือง ได้รับความเสียหาย ",2,0
Typhoon2-3B,1,โรงพยาบาลที่เข้าร่วมโครงการสนับสนุนและการลงทุนปรับเปลี่ยนอุปกรณ์ในโรงพยาบาลของรัฐ ระยะที่3 เพื่อสนับสนุนเงินลงทุนบางส่วนในการเพิ่มประสิทธิภาพการใช้พลังงานและการลดใช้พลังงานภายในอาคาร จำนวน 61 แห่ง มีการสมรู้ร่วมคิดกันระหว่างโรงพยาบาลที่เข้าร่วมโครงการ ที่ปรึกษาของโรงพยาบาล และบริษัทเอกชนที่เข้าร่วมประมูล ปรับเปลี่ยนอุปกรณ์ไฟฟ้าโดยมีการทุจริตในขั้นตอนการจ้างที่ปรึกษาและขั้นตอนการจัดซื้อจัดจ้าง,2,0
Typhoon2-3B,1,ทุจริตในการตรวจรับงานโครงการก่อสร้างถนนขององค์การบริหารส่วนตำบล ว.,2,0
Typhoon2-3B,1,ทุจริตโครงการซ่อมแซมถนน และค่าก่อสร้าง โดยการประมาณราคาสูงเกินจริง และแบ่งซื้อแบ่งจ้าง,2,0
Typhoon2-3B,1,ละเว้นไม่ตรวจสอบข้อเท็จจริงกรณีที่มีการบุกรุกและปักหลักเขตที่ดินรุกล้ำที่ดินมือเปล่า,2,0
Typhoon2-3B,1,ละเว้นไม่ดำเนินคดีกับผู้บุกรุกพื้นที่ป่าสงวนแห่งชาติ,2,0
Typhoon2-3B,1,ขายอาคารไม้เก่าขององค์การบริหารส่วนตำบล บ. อำเภอบ้านแหลม จังหวัดเพขรบุรี โดยไม่ชอบด้วยกฎหมาย,2,0
Typhoon2-3B,1,ทุจริตโครงการขุดลอกหน้าฝาย ขององค์การบริหารส่วนตำบลเขาต่อ อำเภอปลายพระยา จังหวัดกระบี่ เเละดำเนินโครงการก่อนจัดซื้อจัดจ้าง,2,0
Typhoon2-3B,1,"เป็นเจ้าพนักงานปฏิบัติหรือละเว้นการปฏิบัติหน้าที่โดยมิชอบ 
",2,0
Typhoon2-3B,1,นายก อบต  น.  ดำเนินโครงการติดตั้งระบโซล่าเซลล์  สำหรับใช้กับประปาหมู่บ้าน โดยไม่สามารถใช้งานได้,2,0
Typhoon2-3B,1,กรณีตรวจรับและเบิกจ่ายเงินในการจัดซื้อพัสดุโดยมิชอบ,2,0
Typhoon2-3B,1,"จัดซื้อกระดาษถ่ายเอกสาร A4 80 แกรม จำนวน 15 รีม ราคารีมละ 130 บาท เป็นเงิน 1,950 บาท ซึ่งเป็นราคาที่สูงกว่าราคาร้านขายให้กับบุคคลทั่วไปในราคารีมละ 115 บาท",2,1
Typhoon2-3B,1,ดำเนินโครงการขุดลอกร่องหินโงมโดยมิชอบ,2,0
Typhoon2-3B,1,ทุจริตต่อหน้าที่เข้าไปมีส่วนได้เสียในสัญญาเช่ารถตู้ที่ทำกับองค์การบริการส่วนตำบลบ้านระกาศ อำเภอบางบ่อ จังหวัดสมุทรปราการ,2,0
Typhoon2-3B,1,ก่อสร้างถนนแอสฟัลติกคอนกรีตชั้นพื้นทางดินซีเมนต์ ปรับปรุงคุณภาพด้วยยางธรรมชาติ สายทางบ้าน น. หมู่ 8 - บ้าน น. หมู่ 11 ตำบล พ. โดยไม่ถูกต้องตามระเบียบและแบบแปลน,2,0
Typhoon2-3B,1,"กำหนดคุณลักษณะเฉพาะอันเป็นกีดกันมิให้มีการแข่งขันราคาอย่างเป็นธรรมในการจัดซื้อรถยนต์บรรทุกน้ำช่วยดับเพลิง ขนาดความจุไม่น้อยกว่า 15,000 ลิตร (ครั้งที่ ๓) และการจัดซื้อรถยนต์ดับเพลิงอาคาร ขนาดความจุไม่น้อยกว่า 3,000 ลิตร ตามประกาศเทศบาลตำบล บ. ลงวันที่ ๑๒ พฤศจิกายน ๒๕๕๘ เพื่อเอื้อประโยชน์ให้กับผู้ขายบางราย ",2,0
Typhoon2-3B,1,จ้างเหมาบริการพนักงานโดยมิชอบ,2,0
Typhoon2-3B,1,กระทำการเอื้อประโยชน์ให้กับตัวแทนของตนเป็นผู้มีสิทธิเข้าทำสัญญากับองค์การบริหารส่วนตำบล บ.  และก่อสร้างถนนคอนกรีตเสริมเหล็กไม่เป็นไปตามรูปแบบรายการ,2,0
Typhoon2-3B,1,"(1) จัดทำโครงการก่อสร้างถนนคอนกรีตเสริมเหล็ก บ้าน น. หมู่ที่ 10 งบประมาณ 290,000 บาท ปีงบประมาณ 2564 เพื่อใช้ในการเข้าไปยังที่ดินของตนเอง และทำรั้วปิดกั้นถนนดังกล่าวไว้ใช้เฉพาะตนเองและครอบครัวโดยมิชอบ และ (2) นายกองค์การบริหารส่วนตำบล น. ขยายเขตไฟฟ้าแรงต่ำเข้าไปที่ดินของตนเองโดยมิชอบ",2,0
Typhoon2-3B,1,กรณีการก่อสร้างอาคารสหกรณ์ออมทรัพย์ ค. จัดการยื่นซองประกวดราคารับเหมาโดยมีการสมยอมราคา,2,0
Typhoon2-3B,1,ดำเนินโครงการก่อสร้างรางระบายน้ำบริเวณ บ. ยาย ผ. หมู่ที่ ๔ ตำบล ล. อำเภอ ม. จังหวัด ส. โดยเป็นการแบ่งซื้อแบ่งจ้าง ,2,0
Typhoon2-3B,1,ดำเนินการซ่อมแซมรถยนต์บรรทุกขยะ โดยขอใช้ชื่อของผู้ที่ไม่ได้อาชีพซ่อมแซมรถยนต์บรรทุกขยะเข้าเป็นผู้รับจ้าง ,2,0
Typhoon2-3B,1,"กรณีเบิกจ่ายเงินเป็นเท็จและมีเหตุอันควรเชื่อว่าการใช้จ่ายเงินแผ่นดินมีพฤติการณ์อันเป็นการทุจริตต่อหน้าที่ก่อให้เกิดความเสียหายแก่ทางราชการ จำนวน 136 รายการ พบว่า การเบิกจ่ายเงิน จำนวน 8 รายการ พยานหลักฐานยังไม่พอรับฟังว่ามีพฤติการณ์อันควรเชื่อว่าเป็นการทุจริตต่อหน้าที่ แต่มีความบกพร่องในการไม่ปฏิบัติตามกฎหมาย ระเบียบ ข้อบังคับ มติคณะรัฐมนตรีหรือแบบแผนการปฏิบัติราชการ และพบว่าการเบิกจ่ายเงิน จำนวน 128 รายการ ปรากฏพยานหลักฐานอันควรเชื่อได้ว่ามีพฤติการณ์อันเป็นการทุจริตต่อหน้าที่เข้าข่ายความผิดตามประมวลกฎหมายอาญา และจงใจไม่ปฏิบัติตามกฎหมาย ระเบียบ ข้อบังคับ มติคณะรัฐมนตรีหรือแบบแผนการปฏิบัติราชการ ทำให้ราชการได้รับความเสียหายเป็นเงิน จำนวน 14,387,800 บาท ",2,0
Typhoon2-3B,1,ทุจริตโครงการศึกษาดูงานโดยไม่ได้นำเนินการอบรม และเบิกจ่ายจริง,2,0
Typhoon2-3B,1,นาย ช. นายกองค์การบริหาร ส. กับพวก ทุจริตจัดซื้อรถซ่อมบำรุงถนน ไหล่ทาง และปูลาดยางอัตโนมัติ,2,0
Typhoon2-3B,1,กรณีการดำเนินการปรับปรุงซ่อมแซมรถยนต์บรรทุกขยะ ไม่เป็นไปตามพระราชบัญญัติการจัดซื้อจัดจ้าง และการบริหารพัสดุภาครัฐ  พ.ศ.๒๕๖๐  และระเบียบกระทรวงการคลังว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ  พ.ศ.๒๕๖๐,2,1
Typhoon2-3B,1,ทุจริตในโครงการเบิกเงินอุดหนุนขององค์การบริหารส่วนตำบล,1,0
Typhoon2-3B,1,เบิกจ่ายเงินโครงการจ่ายขาดสะสมของเทศบาลตำบล ห. ประจำปีงบประมาณ ๒๕๖๓ จำนวน ๕ โครงการ โดยมิชอบ,1,0
Typhoon2-3B,1,ขอให้ตรวจสอบเทศบาลตำบล บ. ดำเนินการกู้เงินเพื่อจัดทำโครงการวางท่อน้ำประปาจากคลองนาคราช ซึ่งคลองดังกล่าวเป็นน้ำเค็ม,1,0
Typhoon2-3B,1,ตกลงร่วมกันในการเสนอราคา ,1,0
Typhoon2-3B,1,ทุจริตเกี่ยวกับโครงการจ้างเหมาอาหารกลางวัน,1,0
Typhoon2-3B,1,ทุจริตเบิกจ่ายเงินค่าตอบแทนเสี่ยงภัยของเจ้าหน้าที่ที่ปฏิบัติงานในการเฝ้าระวัง สอบสวน ป้องกัน ควบคุม และรักษาผู้ป่วยโรคติดเชื้อไวรัสโคโรนา ๒๐๑๙ (COVID 19) ในช่วงปี พ.ศ. ๒๕๖๔ - ๒๕๖๕,1,0
Typhoon2-3B,1,ทุจริตในการขุดสระน้ำเพื่อการเกษตร,1,0
Typhoon2-3B,1,ทุจริตเงินโครงการ สปสช.อบต เลม็ด,1,0
Typhoon2-3B,1,เบิกจ่ายค่าใช้จ่ายในการจัดอบรมสัมมนาและเดินทางไปศึกษาดูงาน ประจำปี ๒๕๕๗ ระหว่างวันที่ ๒๒-๒๖ กันยายน ๒๕๕๗ ณ จังหวัด พ. อันเป็นเท็จ ,1,0
Typhoon2-3B,1,เรียกรับเงินเพื่อแลกกับการต่อสัญญาจ้าง,0,7
Typhoon2-3B,1,ฝ่าฝืนหรือไม่ปฏิบัติตามมาตรฐานทางจริยธรรมอย่างร้ายแรง กรณียึดถือ ครอบครอง และใช้ประโยชน์ในที่ดิน,10,8
Typhoon2-3B,1,"กระทำการฝ่าฝืนหรือไม่ปฏิบัติตามมาตรฐานทางจริยธรรมอย่างร้ายแรง ตามมาตรฐาน
ทางจริยธรรมของตุลาการศาลรัฐธรรมนูญ และผู้ดํารงตําแหน่งในองค์กรอิสระ รวมทั้งผู้ว่าการตรวจเงินแผ่นดินและหัวหน้าหน่วยงานธุรการของศาลรัฐธรรมนูญและองค์กรอิสระ พ.ศ. ๒๕๖๑ 
",10,0
Typhoon2-3B,1,ทุจริตเงินโครงการ,4,1
Typhoon2-3B,1,เบิกน้ำมันเชื้อเพลิงของทางราชการไปใช้ส่วนตัวจำนวนมากโดยวิธีการเบิกน้ำมันเชื้อเพลิงเพื่อนำไปใช้กับเครื่องจักรกลของทางราชการไม่ตรงกับการใช้งานจริง และมากกว่าที่ใช้งานจริง,4,0
Typhoon2-3B,1,นาย อ. ตำแหน่งผู้ใหญ่บ้าน กรณีได้รับเงินจากโครงการของรัฐต่างๆ ในปี พ.ศ.2565 แล้วเบียดบังเอาเงินนั้นเป็นของตนเองหรือบุคคลที่สาม โดยทุจริต,4,0
Typhoon2-3B,1,กรณีแจ้งย้ายที่อยู่ปลายทางด้วยระบบคอมพิวเตอร์โดยที่บุคคลไม่ได้ย้ายเข้ามาอยู่จริงและไม่มีผู้แจ้งย้ายหรือเจ้าบ้านเป็นผู้แจ้งย้าย,4,0
Typhoon2-3B,1,ทุจริตตาอหน้าที่ หรือตำแหน่งหน้าที่ราชการ,4,0
Typhoon2-3B,1,จัดเก็บเงินรายได้ค่าน้ำประปาตั้งแต่ช่วงระหว่างเดือนมกราคม ๒๕๕๘ ถึงเดือนมิถุนายน ๒๕๖๔ แล้วเบียดบังเงินดังกล่าวไปโดยไม่นำส่งหรือนำส่ง ไม่ครบถ้วน และไม่ควบคุมการจัดเก็บเงินรายได้และไม่ทำการตรวจสอบบัญชี เป็นเหตุให้มีการเบียดบังเงินดังกล่าว ทำให้องค์การบริหารส่วนตำบลบ้าน ลำนาว ได้รับความเสียหาย,4,0
Typhoon2-3B,1,การทำเรื่องเบิกจ่ายค่าเช่าบ้านอันเป็นเท็จหรือไม่ โดยผู้เช่ามิได้อาศัยอยู่จริงเป็นประจำ,4,0
Typhoon2-3B,1,จัดอบรมโครงการโดยทุจริต จัดที่พักให้ผู้เข้าอบรมโดยไม่ได้เข้าพักจริง จัดซื้อวัสดุอุปกรณ์เกินราคา ,4,0
Typhoon2-3B,1,เจ้าพนักงานของรัฐ สังกัด อาชีวศึกษา ล. อำเภอเมือง ล.  ดำเนินการจัดซื้อหนังสือสำหรับการเรียนการสอนนักศึกษา (เพิ่มเติม) วิทยาลัยอาชีวศึกษา ล. ประจำปีงบประมาณ 2562 และประจำปีงบประมาณ 2563 ไม่เป็นไปตามระเบียบของทางราชการ และดำเนินโครงการประชุมเชิงปฏิบัติการจัดทำแผนปฏิบัติการประจำปีงบประมาณ 2564 โดยมิชอบ,4,0
Typhoon2-3B,1,นำเงินสดของธนาคารที่ได้รับมอบไว้ชั่วคราวเพื่อใช้ในการปฏิบัติหน้าที่ ไปใช้จ่ายส่วนตัว เป็นการเอาไปซึ่งทรัพย์สินของธนาคาร ทำให้ธนาคารได้รับความเสียหาย  ,4,0
Typhoon2-3B,1,ลักลอบขุดตักทรายในเขตพื้นที่ป่าไม้ นำไปเป็นประโยชน์แก่ผู้อื่น เพื่อหวังผลประโยชน์ทางการเมือง,4,0
Typhoon2-3B,1,"ทุจริตการเบิกจ่ายเงินและการรับเงิน ระหว่าง
วันที่ 1 ต.ค. 48 - 31 ม.ค. 52 เป็นเหตุให้ อบต.
 ห. เงินขาดบัญชี ดังนี้
     1. ผู้ถูกกล่าวหาที่ 1 รับเงินทุนโครงการเศรษฐกิจ-
ชุมชนที่กลุ่มผู้ยืมเงินส่งใช้แล้ว ระหว่างปีงบประมาณ
48 - 51 จำนวน 152,261 บาท และรับเงินรายรับ
ประเภทภาษีโรงเรือนและที่ดิน ภาษีป้าย ภาษีบำรุงท้องที่ 
ปีงบประมาณ 49 - 50 จำนวน 70,549.66 บาท 
แล้วเบียดบังไปเป็นประโยชน์ส่วนตัว ทำให้เงินขาดบัญชี
ด้านรับ รวมเป็นเงินจำนวน 222,810.66 บาท
     2. ผู้ถูกกล่าวหาที่ 1 - 4 สั่งจ่ายเช็คให้กับ
ร้าน อ. จำนวน 56 ฉบับ โดยไม่มีการก่อหนี้
ผูกพันกัน รวมเป็นเงินจำนวน 7,319,349.74 บาท
และสั่งจ่ายเช็ค จำนวน 8 ฉบับ รวมเป็นเงินจำนวน
1,076,300 บาท โดยไม่เคยมีการเบิกจ่ายเงิน ทำให้
เงินขาดบัญชีด้านจ่าย จำนวน 8,395,649.74 บาท
     3. ผู้ถูกกล่าวหาที่ 1 - 4 สั่งจ่ายเช็ค โดยไม่มี
หลักฐานการจ่ายให้ตรวจสอบ (ฎีกาเบิกจ่ายเงิน)
จำนวน 131 ฉบับ เป็นเงินจำนวน 8,005,356.46
บาท และสั่งจ่ายเช็ค โดยมีฎีกาให้ตรวจสอบ แต่ไม่มี
หลักฐานการจ่ายให้ตรวจสอบ และ /หรือมีแต่ไม่
ครบถ้วน (ใบเสร็จรับเงิน) จำนวน 57 ฉบับ เป็นเงิน
จำนวน 3,043,929.36 บาท เป็นเหตุให้เงินขาดบัญชี
จำนวนรวม 11,049,285.82 บาท",4,0
